PROJECT;FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUILD_FAIL
scikit-learn;./scikit-learn\.github\scripts\label_title_regex.py;17;0;8;0;0;0.0;0.0;0;0;2;7;0
scikit-learn;./scikit-learn\.spin\cmds.py;23;0;6;1;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\cluster.py;79;0;25;8;2;1.5;4.0;0;0;5;10;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\common.py;191;6;65;21;4;1.19;3.0;1;0;25;10;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\datasets.py;135;2;33;10;0;2.8;0.0;0;0;2;11;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\decomposition.py;68;0;28;12;3;1.5;4.0;0;0;1;8;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\ensemble.py;87;0;34;12;3;1.5;4.0;0;0;5;8;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\linear_model.py;183;0;74;27;6;1.56;4.5;0;0;20;8;1
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\manifold.py;22;0;12;4;1;1.5;4.0;0;0;2;8;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\metrics.py;34;0;11;3;1;1.0;3.0;1;0;7;8;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\model_selection.py;57;0;27;8;2;1.25;4.0;0;0;3;11;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\neighbors.py;26;0;13;4;1;1.5;4.0;0;0;4;8;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\svm.py;20;0;10;4;1;1.5;4.0;0;0;1;8;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\utils.py;32;0;15;7;0;1.71;0.0;0;0;1;13;0
scikit-learn;./scikit-learn\asv_benchmarks\benchmarks\__init__.py;1;0;0;0;0;0.0;0.0;0;0;1;2;0
scikit-learn;./scikit-learn\benchmarks\bench_20newsgroups.py;83;2;11;0;0;0.0;0.0;0;1;5;12;0
scikit-learn;./scikit-learn\benchmarks\bench_covertype.py;201;8;33;1;0;3.0;0.0;0;0;5;12;0
scikit-learn;./scikit-learn\benchmarks\bench_feature_expansions.py;51;4;7;0;0;0.0;0.0;0;0;5;10;0
scikit-learn;./scikit-learn\benchmarks\bench_glm.py;40;0;17;0;0;0.0;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\benchmarks\bench_glmnet.py;110;6;30;2;0;4.0;0.0;0;0;4;13;0
scikit-learn;./scikit-learn\benchmarks\bench_hist_gradient_boosting.py;258;1;34;2;0;0.5;0.0;0;0;20;9;0
scikit-learn;./scikit-learn\benchmarks\bench_hist_gradient_boosting_adult.py;84;3;16;2;0;3.5;0.0;0;0;3;8;0
scikit-learn;./scikit-learn\benchmarks\bench_hist_gradient_boosting_categorical_only.py;65;3;14;2;0;3.0;0.0;0;0;3;8;0
scikit-learn;./scikit-learn\benchmarks\bench_hist_gradient_boosting_higgsboson.py;106;0;21;3;0;2.33;0.0;0;0;9;10;0
scikit-learn;./scikit-learn\benchmarks\bench_hist_gradient_boosting_threading.py;298;2;49;2;0;1.0;0.0;0;0;29;9;0
scikit-learn;./scikit-learn\benchmarks\bench_isolation_forest.py;137;11;27;1;0;1.0;0.0;0;0;10;9;0
scikit-learn;./scikit-learn\benchmarks\bench_isolation_forest_predict.py;171;11;42;3;0;2.33;0.0;0;0;8;11;0
scikit-learn;./scikit-learn\benchmarks\bench_isotonic.py;87;2;24;4;0;1.0;0.0;0;0;5;10;0
scikit-learn;./scikit-learn\benchmarks\bench_kernel_pca_solvers_time_vs_n_components.py;150;24;27;0;0;0.0;0.0;0;0;8;11;0
scikit-learn;./scikit-learn\benchmarks\bench_kernel_pca_solvers_time_vs_n_samples.py;153;25;30;0;0;0.0;0.0;0;0;7;11;0
scikit-learn;./scikit-learn\benchmarks\bench_lasso.py;78;2;21;1;0;4.0;0.0;0;0;4;11;0
scikit-learn;./scikit-learn\benchmarks\bench_lof.py;94;8;19;0;0;0.0;0.0;0;0;10;9;0
scikit-learn;./scikit-learn\benchmarks\bench_mnist.py;200;8;29;1;0;2.0;0.0;0;0;5;11;0
scikit-learn;./scikit-learn\benchmarks\bench_multilabel_metrics.py;200;1;27;3;0;5.67;0.0;0;0;14;11;0
scikit-learn;./scikit-learn\benchmarks\bench_online_ocsvm.py;236;15;58;3;0;1.67;0.0;0;0;13;10;0
scikit-learn;./scikit-learn\benchmarks\bench_pca_solvers.py;151;21;14;1;0;4.0;0.0;0;0;23;12;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_fastkmeans.py;115;2;26;2;0;1.5;0.0;0;0;9;12;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_hierarchical.py;59;0;18;1;0;2.0;0.0;0;0;9;11;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_incremental_pca.py;129;3;30;8;0;2.88;0.0;0;0;5;10;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_lasso_path.py;92;8;21;1;0;2.0;0.0;0;0;5;9;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_neighbors.py;153;6;38;2;0;5.5;0.0;1;0;15;12;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_nmf.py;397;32;75;15;1;4.53;6.0;3;0;45;12;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_omp_lars.py;102;10;18;1;0;2.0;0.0;0;0;5;9;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_parallel_pairwise.py;33;2;15;3;0;1.67;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_polynomial_kernel_approximation.py;146;20;30;0;0;0.0;0.0;0;0;7;10;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_randomized_svd.py;454;18;75;12;0;3.0;0.0;1;1;57;16;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_svd.py;63;4;17;1;0;4.0;0.0;0;0;5;10;0
scikit-learn;./scikit-learn\benchmarks\bench_plot_ward.py;40;0;8;0;0;0.0;0.0;0;0;3;8;0
scikit-learn;./scikit-learn\benchmarks\bench_random_projections.py;255;26;49;6;0;2.17;0.0;0;0;11;13;0
scikit-learn;./scikit-learn\benchmarks\bench_rcv1_logreg_convergence.py;264;14;47;8;0;1.88;0.0;0;4;15;13;0
scikit-learn;./scikit-learn\benchmarks\bench_saga.py;342;2;44;4;0;5.0;0.0;0;2;46;11;1
scikit-learn;./scikit-learn\benchmarks\bench_sample_without_replacement.py;194;35;39;2;0;2.5;0.0;1;0;11;13;0
scikit-learn;./scikit-learn\benchmarks\bench_sgd_regression.py;129;4;22;0;0;0.0;0.0;0;0;5;10;0
scikit-learn;./scikit-learn\benchmarks\bench_sparsify.py;81;5;26;4;0;1.0;0.0;0;0;3;8;0
scikit-learn;./scikit-learn\benchmarks\bench_text_vectorizers.py;52;0;22;2;0;1.0;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\benchmarks\bench_tree.py;96;6;27;2;0;2.0;0.0;0;0;4;8;0
scikit-learn;./scikit-learn\benchmarks\bench_tsne_mnist.py;176;5;32;5;0;2.2;0.0;2;2;13;11;0
scikit-learn;./scikit-learn\benchmarks\plot_tsne_mnist.py;27;0;6;0;0;0.0;0.0;0;0;3;8;0
scikit-learn;./scikit-learn\build_tools\check-meson-openmp-dependencies.py;137;6;35;7;0;0.71;0.0;1;0;6;9;0
scikit-learn;./scikit-learn\build_tools\generate_authors_table.py;213;15;42;6;0;0.83;0.0;0;1;21;10;0
scikit-learn;./scikit-learn\build_tools\get_comment.py;303;27;48;6;0;3.83;0.0;2;2;26;14;0
scikit-learn;./scikit-learn\build_tools\update_environments_and_lock_files.py;697;21;76;18;0;1.5;0.0;3;0;23;10;0
scikit-learn;./scikit-learn\build_tools\azure\get_commit_message.py;55;16;10;2;0;0.0;0.0;0;0;4;10;0
scikit-learn;./scikit-learn\build_tools\azure\get_selected_tests.py;25;2;9;1;0;0.0;0.0;0;0;4;10;0
scikit-learn;./scikit-learn\build_tools\circle\list_versions.py;115;14;27;4;0;1.25;0.0;1;1;28;11;0
scikit-learn;./scikit-learn\build_tools\github\check_wheels.py;22;1;8;0;0;0.0;0.0;0;0;3;8;0
scikit-learn;./scikit-learn\build_tools\github\vendor.py;74;2;22;2;0;2.0;0.0;3;0;7;8;0
scikit-learn;./scikit-learn\build_tools\wheels\check_license.py;23;0;7;0;0;0.0;0.0;1;1;2;10;0
scikit-learn;./scikit-learn\doc\api_reference.py;1329;1;23;2;0;1.0;0.0;0;0;4;11;0
scikit-learn;./scikit-learn\doc\conf.py;921;227;171;13;2;2.15;2.0;1;4;47;11;0
scikit-learn;./scikit-learn\doc\conftest.py;139;18;40;14;0;0.43;0.0;12;8;40;13;0
scikit-learn;./scikit-learn\doc\sphinxext\allow_nan_estimators.py;49;3;9;3;1;1.0;2.0;0;0;7;13;0
scikit-learn;./scikit-learn\doc\sphinxext\autoshortsummary.py;39;6;14;5;1;2.4;4.0;0;0;3;11;0
scikit-learn;./scikit-learn\doc\sphinxext\doi_role.py;39;0;8;3;0;3.0;0.0;0;0;5;7;0
scikit-learn;./scikit-learn\doc\sphinxext\dropdown_anchors.py;45;9;13;2;1;1.0;1.0;0;0;3;14;0
scikit-learn;./scikit-learn\doc\sphinxext\github_link.py;67;2;17;3;0;2.33;0.0;0;4;12;10;0
scikit-learn;./scikit-learn\doc\sphinxext\override_pst_pagetoc.py;66;13;18;3;0;2.33;0.0;0;1;6;12;0
scikit-learn;./scikit-learn\doc\sphinxext\sphinx_issues.py;190;10;28;8;1;4.38;4.0;2;0;27;11;0
scikit-learn;./scikit-learn\examples\applications\plot_cyclical_feature_engineering.py;751;415;85;4;0;2.75;0.0;0;0;7;10;0
scikit-learn;./scikit-learn\examples\applications\plot_digits_denoising.py;127;57;24;1;0;2.0;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\examples\applications\plot_face_recognition.py;120;29;42;2;0;5.0;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\examples\applications\plot_model_complexity_influence.py;248;72;44;4;0;1.75;0.0;0;0;6;9;0
scikit-learn;./scikit-learn\examples\applications\plot_outlier_detection_wine.py;120;30;17;0;0;0.0;0.0;0;0;3;7;0
scikit-learn;./scikit-learn\examples\applications\plot_out_of_core_classification.py;344;49;88;24;1;1.75;16.0;0;0;24;11;0
scikit-learn;./scikit-learn\examples\applications\plot_prediction_latency.py;287;15;61;11;0;2.82;0.0;0;0;13;10;0
scikit-learn;./scikit-learn\examples\applications\plot_species_distribution_modeling.py;197;25;49;3;0;2.67;0.0;0;1;6;10;0
scikit-learn;./scikit-learn\examples\applications\plot_stock_market.py;239;75;35;0;0;0.0;0.0;0;0;6;11;0
scikit-learn;./scikit-learn\examples\applications\plot_time_series_lagged_features.py;379;159;59;2;0;2.0;0.0;0;0;9;12;0
scikit-learn;./scikit-learn\examples\applications\plot_tomography_l1_reconstruction.py;118;7;27;4;0;1.5;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\examples\applications\plot_topics_extraction_with_nmf_lda.py;194;12;30;1;0;4.0;0.0;0;0;3;10;0
scikit-learn;./scikit-learn\examples\applications\wikipedia_principal_eigenvector.py;183;23;45;5;0;2.4;0.0;0;0;24;13;0
scikit-learn;./scikit-learn\examples\bicluster\plot_bicluster_newsgroups.py;131;7;32;3;1;1.0;1.0;0;0;9;10;0
scikit-learn;./scikit-learn\examples\bicluster\plot_spectral_biclustering.py;103;50;20;0;0;0.0;0.0;0;0;1;8;0
scikit-learn;./scikit-learn\examples\bicluster\plot_spectral_coclustering.py;41;3;15;0;0;0.0;0.0;0;0;1;7;0
scikit-learn;./scikit-learn\examples\calibration\plot_calibration.py;117;19;23;0;0;0.0;0.0;0;0;2;9;0
scikit-learn;./scikit-learn\examples\calibration\plot_calibration_curve.py;285;118;51;2;1;2.5;2.0;0;0;11;12;0
scikit-learn;./scikit-learn\examples\calibration\plot_calibration_multiclass.py;264;93;40;0;0;0.0;0.0;0;0;5;9;0
scikit-learn;./scikit-learn\examples\calibration\plot_compare_calibration.py;253;157;29;2;1;2.5;2.0;0;0;3;8;0
scikit-learn;./scikit-learn\examples\classification\plot_classification_probability.py;218;69;23;0;0;0.0;0.0;0;0;6;10;0
scikit-learn;./scikit-learn\examples\classification\plot_classifier_comparison.py;138;10;19;0;0;0.0;0.0;0;0;5;9;0
scikit-learn;./scikit-learn\examples\classification\plot_digits_classification.py;102;53;26;0;0;0.0;0.0;0;0;5;8;0
scikit-learn;./scikit-learn\examples\classification\plot_lda.py;87;8;20;1;0;2.0;0.0;0;0;4;10;0
scikit-learn;./scikit-learn\examples\classification\plot_lda_qda.py;204;57;24;3;0;4.33;0.0;0;0;3;10;0
